Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Product,Logic Function,Logic Family,Number of Gates,Number of Input Lines,Number of Output Lines,High Level Output Current,Low Level Output Current,Propagation Delay Time,Supply Voltage - Max,Supply Voltage - Min,Minimum Operating Temperature,Maximum Operating Temperature,Mounting Style,Package/Case,Packaging
595-CD4082BE,CD4082BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4082b,"8,264  In Stock","=""$1.20""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4082BE?qs=KaAwwOlwapuurJwzCPQBUQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4082BE&utm_content=Texas-Instruments,Single-Function Gates,AND,CD4000,2 Gate,8 Input,2 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-SN74HC08NE4,SN74HC08NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc08,"5,525  In Stock","=""$1.17""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC08NE4?qs=AgY10sKTvDKZbeCue%2Fg%2Fhg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC08NE4&utm_content=Texas-Instruments,Single-Function Gates,AND,HC,4 Gate,8 Input,4 Output,- 5.2 mA,5.2 mA,8 ns,6 V,2 V,- 40 C,+ 85 C,Through Hole,PDIP-14,Tube
595-SN74HC86NE4,SN74HC86NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc86,"4,219  In Stock","=""$1.57""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC86NE4?qs=AgY10sKTvDJ1JKuZG2yHJg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC86NE4&utm_content=Texas-Instruments,Single-Function Gates,XOR,HC,4 Gate,8 Input,4 Output,- 5.2 mA,5.2 mA,10 ns,6 V,2 V,- 40 C,+ 85 C,Through Hole,PDIP-14,Tube
595-CD4093BE,CD4093BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4093b,"59,831  In Stock","=""$0.794""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4093BE?qs=X1HXWTtiZ0QxcrKuDdZ5rg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4093BE&utm_content=Texas-Instruments,Single-Function Gates,NAND,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,65 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-SN74HC00AN,SN74HC00AN,Texas Instruments,https://www.ti.com/lit/ds/symlink/sn74hc00.pdf?ts=1605228534576&ref_url=https%253A%252F%252Fe2e.ti.com%252F,"9,056  In Stock","=""$1.17""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC00AN?qs=6ZVwTuetbD7YqMbSpl34ug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC00AN&utm_content=Texas-Instruments,Single-Function Gates,NAND,HC,4 Gate,8 Input,4 Output,- 5.2 mA,5.2 mA,8 ns,6 V,2 V,- 40 C,+ 85 C,Through Hole,PDIP-14,Tube
595-SN74S20NE4,SN74S20NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74s20,279  In Stock,"=""$4.83""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74S20NE4?qs=dT9u2OTAaVXpwRa5gE7lOA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74S20NE4&utm_content=Texas-Instruments,Single-Function Gates,NAND,S,2 Gate,8 Input,2 Output,- 1 mA,20 mA,5 ns,5.25 V,4.75 V,0 C,+ 70 C,Through Hole,PDIP-14,Tube
595-CD4070BE,CD4070BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4070b,"16,836  In Stock","=""$0.81""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4070BE?qs=5WY7Uqh921w5Ya0dPgjorQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4070BE&utm_content=Texas-Instruments,Single-Function Gates,XOR,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,65 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4081BEE4,CD4081BEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4081b,793  In Stock,"=""$1.54""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4081BEE4?qs=HTr%252BoA4jRiloxIEWd2QErQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4081BEE4&utm_content=Texas-Instruments,Single-Function Gates,AND,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4001BE,CD4001BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4001b,"14,496  In Stock","=""$0.859""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4001BE?qs=Tv815z3GeNSKspfG7F34rg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4001BE&utm_content=Texas-Instruments,Single-Function Gates,NOR,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-SN74HC7002NE4,SN74HC7002NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc7002,102  In Stock,"=""$6.01""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC7002NE4?qs=AgY10sKTvDLVliWXT%252BU1YA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC7002NE4&utm_content=Texas-Instruments,Single-Function Gates,NOR,HC,4 Gate,8 Input,4 Output,- 5.2 mA,5.2 mA,14 ns,6 V,2 V,- 40 C,+ 85 C,Through Hole,PDIP-14,Tube
