Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Product Type,Mounting Style,Package/Case,Memory Size,Interface Type
700-DS2431T&R,DS2431+T&R,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS2431-3122384.pdf,"18,285  In Stock","=""$2.79""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS2431%2bTR?qs=sGAEpiMZZMs6Aik9Fp479ks2Zu5YRpJxwLQN7Cf9khE%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS2431%2BT%26R&utm_content=Analog-Devices-%2F-Maxim-Integrated,EEPROM,Through Hole,TO-92-3,1 kbit,1-Wire
579-24AA512-I/P,24AA512-I/P,Microchip Technology,https://au.mouser.com/datasheet/2/268/21754M-708763.pdf,"8,937  In Stock","=""$2.96""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Microchip-Technology/24AA512-I-P?qs=sGAEpiMZZMs6Aik9Fp479jeTt1qzcj9GlwB1a%252BUUnmA%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=24AA512-I%2FP&utm_content=Microchip-Technology,EEPROM,Through Hole,PDIP-8,512 kbit,"2-Wire, I2C"
579-24LC32A-I/P,24LC32A-I/P,Microchip Technology,https://au.mouser.com/datasheet/2/268/24AA32A_24LC32A_32_Kbit_I2C_Serial_EEPROM_20001713-2898696.pdf,"45,581  In Stock","=""$0.81""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Microchip-Technology/24LC32A-I-P?qs=sGAEpiMZZMs6Aik9Fp479lgWptyNOVWjiEAotpphaz8%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=24LC32A-I%2FP&utm_content=Microchip-Technology,EEPROM,Through Hole,PDIP-8,32 kbit,"2-Wire, I2C"
700-DS1250AB-70,DS1250AB-70+,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS1250AB_DS1250Y-3122471.pdf,,,RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS1250AB-70%2b?qs=sGAEpiMZZMs6Aik9Fp479ks2Zu5YRpJxGdMpj10g6Kk%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS1250AB-70%2B&utm_content=Analog-Devices-%2F-Maxim-Integrated,NVRAM,Through Hole,EDIP-32,4 Mbit,Parallel
700-DS1245Y-70IND,DS1245Y-70IND+,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS1245AB_DS1245Y-3122370.pdf,,,RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS1245Y-70IND%2b?qs=sGAEpiMZZMs6Aik9Fp479uoWqg9aAvPIWnc0kko1dDs%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS1245Y-70IND%2B&utm_content=Analog-Devices-%2F-Maxim-Integrated,NVRAM,Through Hole,EDIP-32,1 Mbit,Parallel
700-DS28E25+T,DS28E25+T,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS28E25-3122538.pdf,"8,901  In Stock","=""$4.10""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS28E25%2bT?qs=sGAEpiMZZMs6Aik9Fp479la6bXy246tgv2feMHx%2FaUs%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS28E25%2BT&utm_content=Analog-Devices-%2F-Maxim-Integrated,EEPROM,Through Hole,TO-92-3,4 kbit,1-Wire
700-DS2430AT&R,DS2430A+T&R,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS2430A-3122485.pdf,"9,342  In Stock","=""$4.70""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS2430A%2bTR?qs=sGAEpiMZZMs6Aik9Fp479ks2Zu5YRpJx3z70VJmUL9k%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS2430A%2BT%26R&utm_content=Analog-Devices-%2F-Maxim-Integrated,EEPROM,Through Hole,TO-92-3,256 bit,1-Wire
700-DS1230Y-120,DS1230Y-120+,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS1230AB_DS1230Y-3122264.pdf,,,RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS1230Y-120%2b?qs=sGAEpiMZZMs6Aik9Fp479uoWqg9aAvPILzgDMdC%2FFYk%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS1230Y-120%2B&utm_content=Analog-Devices-%2F-Maxim-Integrated,NVRAM,Through Hole,EDIP-28,256 kbit,Parallel
700-DS28E07+T,DS28E07+T,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS28E07-3122240.pdf,"59,685  In Stock","=""$2.17""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS28E07%2bT?qs=sGAEpiMZZMs6Aik9Fp479mVqkl%252BC4%2F%2Fr7E0Hbzmz1EI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS28E07%2BT&utm_content=Analog-Devices-%2F-Maxim-Integrated,EEPROM,Through Hole,TO-92-3,1 kbit,1-Wire
700-DS28EC20T,DS28EC20+T,Analog Devices / Maxim Integrated,https://au.mouser.com/datasheet/2/609/DS28EC20-3123148.pdf,"25,809  In Stock","=""$5.65""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Analog-Devices-Maxim-Integrated/DS28EC20%2bT?qs=sGAEpiMZZMs6Aik9Fp479ks2Zu5YRpJx0qQ0IxZQa1k%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=DS28EC20%2BT&utm_content=Analog-Devices-%2F-Maxim-Integrated,EEPROM,Through Hole,TO-92-3,20 kbit,1-Wire
